,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,listed_in1,listed_in2,listed_in3,duration_seasons
1,s3,TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows, International TV Shows, TV Action & Adventure,
2,s6,TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",TV Dramas, TV Horror, TV Mysteries,
5,s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",British TV Shows, Reality TV,0,
17,s4,TV Show,Jailbirds New Orleans,Not Given,Pakistan,2021-09-24,2021,TV-MA,1 Season,"Docuseries, Reality TV",Docuseries, Reality TV,0,
18,s15,TV Show,Crime Stories: India Detectives,Not Given,Pakistan,2021-09-22,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows, Crime TV Shows, Docuseries,
20,s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,Kids' TV,0,0,
21,s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,Kids' TV,0,0,
22,s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,TV-Y,1 Season,Kids' TV,Kids' TV,0,0,
24,s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,2021-09-23,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows, International TV Shows, TV Action & Adventure,
27,s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,2021-09-22,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows, Docuseries, International TV Shows,
33,s20,TV Show,Jaguar,Not Given,Pakistan,2021-09-22,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",International TV Shows, Spanish-Language TV Shows, TV Action & Adventure,
34,s32,TV Show,Chicago Party Aunt,Not Given,Pakistan,2021-09-17,2021,TV-MA,1 Season,TV Comedies,TV Comedies,0,0,
35,s34,TV Show,Squid Game,Not Given,Pakistan,2021-09-17,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",International TV Shows, TV Dramas, TV Thrillers,
36,s35,TV Show,Tayo and Little Wizards,Not Given,Pakistan,2021-09-17,2020,TV-Y7,1 Season,Kids' TV,Kids' TV,0,0,
37,s75,TV Show,The World's Most Amazing Vacation Rentals,Not Given,Pakistan,2021-09-14,2021,TV-PG,2 Seasons,Reality TV,Reality TV,0,0,
38,s84,TV Show,Metal Shop Masters,Not Given,Pakistan,2021-09-10,2021,TV-MA,1 Season,Reality TV,Reality TV,0,0,
